Marca,Modelo,Ano,Kilometraje,Condicion,Combustible,Color,Transmision,price,location,Comuna,Tipo_de_vendedor,Category
Hyundai,Grand Santa Fe,2011,209000,Usado,Bencina,Blanco,Manual,6900000,Metropolitana de Santiago,Maipú,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,308,2024,13,Usado,Bencina,GRAFITO,Automática,21990000,Valparaíso,San Antonio,Vendedor de autos.,"Autos, Camionetas y 4x4"
Citroën,Berlingo,2021,139000,Usado,Diesel,Blanco,Manual,10300000,Araucanía,Temuco,Vendedor de autos.,"Autos, camionetas y 4x4"
Volkswagen,T-Cross,2022,11893,Usado,Bencina,Gris,Manual,12590000,Bío Bío,Hualpén,Vendedor de autos.,"Autos, Camionetas y 4x4"
Hyundai,Santa Fe,2012,76500,Usado,Bencina,Plata,Automática,11980000,Metropolitana de Santiago,Ñuñoa,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Aveo,2009,146000,Usado,Bencina,Blanco,Automática,2800000,Metropolitana de Santiago,La Granja,Vendedor de autos.,"Autos, camionetas y 4x4"
MG,Mg Zs,2021,56040,Usado,Bencina,Rojo,Automática,11990000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,Sedan
Land Rover,Range Rover Sport,2017,66000,Usado,Diesel,Blanco,Automática,36990000,Bío Bío,Concepción,Vendedor de autos.,"Autos, Camionetas y 4x4"
MG,Mg6,2021,48000,Usado,Bencina,Gris Gris,Automática,9290000,Los Lagos,Puerto Montt,Vendedor de autos.,"Autos, camionetas y 4x4"
Subaru,Crosstrek,2025,4200,Usado,Bencina,Gris,Automática,21500000,Metropolitana de Santiago,Providencia,Vendedor de autos.,"Autos, camionetas y 4x4"
Chery,Tiggo 8,2021,74000,Usado,Bencina,Blanco,Manual,9690000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Chevrolet,Orlando,2016,120574,Usado,Bencina,Blanco,Automática,7990000,Metropolitana de Santiago,Maipú,Vendedor de autos.,Autos-vehículo
Haval,Jolion,2022,101017,Usado,Bencina,Blanco,Automática,9990000,Metropolitana de Santiago,Cerrillos,Vendedor de autos.,"Autos, Camionetas y 4x4"
Citroën,C4,2023,9000,Usado,Bencina,Blanco,Automática,21790000,Metropolitana de Santiago,La Reina,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,F-150,2015,132500,Usado,Bencina,Negro,Automática,18980000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
Mazda,Bt-50,2022,54710,Usado,Diesel,Azul,Automática,26490000,Los Lagos,Osorno,Vendedor de autos.,"Autos, Camionetas y 4x4"
Land Rover,Range Rover,2014,174000,Usado,Diesel,Café,Automática,37790000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,"Autos, Camionetas y 4x4"
Kia,Sportage,2023,69050,Usado,Diesel,Gris,Automática,22680000,Coquimbo,La Serena,Vendedor de autos.,Autos-vehículo
Toyota,Yaris,2022,16000,Usado,Bencina,Gris,Automática,11890000,Metropolitana de Santiago,Maipú,Vendedor de autos.,Autos-vehículo
Chevrolet,Tracker,2021,81500,Usado,Bencina,Plata,Automática,11390000,Metropolitana de Santiago,San Bernardo,Vendedor de autos.,Autos-vehículo
Citroën,C3,2019,81045,Usado,Diesel,Gris,Automática,11200000,Maule,Linares,Vendedor de autos.,Autos-vehículo
Subaru,Legacy,2020,57100,Usado,Bencina,Plata,Automática,23490000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
