Marca,Modelo,Ano,Kilometraje,Condicion,Combustible,Color,Transmision,price,location,Comuna,Tipo_de_vendedor,Category
Chevrolet,Sail,2020,109670,Usado,Bencina,Blanco Blanco,Manual,5790000,Metropolitana de Santiago,La Florida,Vendedor de autos.,"Autos, camionetas y 4x4"
Dodge,Journey,2018,114136,Usado,Bencina,Gris Gris,Automática,11490000,Bío Bío,Los Angeles,Vendedor de autos.,"Autos, camionetas y 4x4"
Jeep,Wrangler,2015,150000,Usado,Bencina,Rojo,Automática,24990000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
Citroën,Berlingo,2022,56130,Usado,Diesel,BLANCO,Manual,10900000,Coquimbo,La serena,Vendedor de autos.,"Autos, Camionetas y 4x4"
Suzuki,Dzire,2020,97000,Usado,Bencina,Plata,Manual,8490000,Coquimbo,La Serena,Vendedor de autos.,"Autos, Camionetas y 4x4"
Chevrolet,Spark Gt,2018,51436,Usado,Bencina,Plata Plata,Manual,5390000,Metropolitana de Santiago,San Bernardo,Vendedor de autos.,"Autos, camionetas y 4x4"
Citroën,C3,2023,29621,Usado,Bencina,Marrón Marrón,Manual,9490000,Ñuble,Chillán,Vendedor de autos.,"Autos, camionetas y 4x4"
Jac,Js2,2022,24600,Usado,Bencina,ROJO BITONO,Manual,8590000,Antofagasta,Antofagasta,Vendedor de autos.,"Autos, Camionetas y 4x4"
Hyundai,Santa Fe,2024,25600,Usado,Diesel,Negro,Automática,34990000,Los Lagos,Osorno,Vendedor de autos.,"Autos, Camionetas y 4x4"
Suzuki,Sx4 S-Cross,2010,138000,Usado,Bencina,Negro,Manual,4500000,Araucanía,Villarrica,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,F-150,2015,70000,Usado,Bencina,Azul,Automática,29500000,Maule,Linares,Vendedor de autos.,"Autos, camionetas y 4x4"
Fiat,Argo,2020,38983,Usado,Bencina,Blanco Blanco,Manual,8180000,Metropolitana de Santiago,Cerrillos,Vendedor de autos.,"Autos, camionetas y 4x4"
Chery,Tiggo 2,2019,83375,Usado,Bencina,Gris,Manual,5870000,Metropolitana de Santiago,San Miguel,Vendedor de autos.,"Autos, Camionetas y 4x4"
Toyota,Rav4,2023,39000,Usado,Híbrido,Blanco,Automática,30900000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Mercedes-Benz,X 250D,2019,71000,Usado,Diesel,Azul,Automática,34900000,Bío Bío,Concepción,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,F-150,2013,210000,Usado,Bencina,Rojo,Automática,19000000,OHiggins,Olivar,Vendedor de autos.,"Autos, camionetas y 4x4"
SsangYong,Rexton,2022,73400,Usado,Diesel,Blanco,Automática,24490000,Los Lagos,Osorno,Vendedor de autos.,"Autos, Camionetas y 4x4"
Mazda,Cx-5,2024,25500,Usado,Bencina,Plata,Automática,21990000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
MG,One,2023,31000,Usado,Bencina,Naranja,Automática,12890000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Fiat,Uno,2021,69650,Usado,Bencina,Negro,Manual,6790000,Coquimbo,Monte Patria,Vendedor de autos.,"Autos, camionetas y 4x4"
Toyota,Hilux,2012,197000,Usado,Diesel,Rojo,Manual,10500000,OHiggins,Rancagua,Vendedor de autos.,"Autos, camionetas y 4x4"
SKODA,Kodiaq,2023,40000,Usado,Bencina,Plata,Automática,22900000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,Landtrek,2023,41000,Usado,Diesel,Gris,Manual,19000000,Coquimbo,Vicuña,Vendedor de autos.,"Autos, camionetas y 4x4"
Citroën,C3,2012,200,Usado,Bencina,Negro,Manual,3750000,Metropolitana de Santiago,Quilicura,Vendedor de autos.,"Autos, camionetas y 4x4"
Suzuki,Grand Vitara,2015,94000,Usado,Bencina,Gris,Automática,10900000,Valparaíso,Los Andes,Vendedor de autos.,"Autos, camionetas y 4x4"
Citroën,C-Elysee,2019,80000,Usado,Diesel,Gris,Manual,11900000,Los Lagos,Puerto Montt,Vendedor de autos.,"Autos, camionetas y 4x4"
Mitsubishi,L200,2022,110697,Usado,Diesel,Blanco,Manual,15800000,Metropolitana de Santiago,San Joaquin,Vendedor de autos.,"Autos, Camionetas y 4x4"
Ford,F-150,2016,152000,Usado,Bencina,Rojo,Automática,21800000,Atacama,Copiapó,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Captiva,2021,78000,Usado,Bencina,Rojo,Automática,11890000,Valparaíso,Villa Alemana,Vendedor de autos.,"Autos, camionetas y 4x4"
Hyundai,Porter Hr,2012,155000,Usado,Diesel,Blanco,Manual,8600000,Metropolitana de Santiago,Ñuñoa,Vendedor de autos.,"Autos, camionetas y 4x4"
Audi,Q5,2022,56000,Usado,Híbrido,Plata,Automática,36000000,Metropolitana de Santiago,Colina,Vendedor de autos.,"Autos, camionetas y 4x4"
Kia,Rio 4,2018,156000,Usado,Bencina,Gris,Manual,7400000,Metropolitana de Santiago,Lampa,Vendedor de autos.,"Autos, camionetas y 4x4"
MINI,Countryman,2022,24000,Usado,Híbrido,Azul,Automática,30590000,Metropolitana de Santiago,Providencia,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,208,2022,53000,Usado,Bencina,Blanco,Manual,9000000,Metropolitana de Santiago,Pudahuel,Vendedor de autos.,"Autos, camionetas y 4x4"
BMW,X3,2017,109000,Usado,Diesel,Gris,Automática,25000000,OHiggins,Pichidegua,Vendedor de autos.,"Autos, camionetas y 4x4"
Citroën,C4 Cactus,2019,106000,Usado,Diesel,Blanco,Automática,12800000,Metropolitana de Santiago,Maipú,Vendedor de autos.,"Autos, camionetas y 4x4"
Volvo,V40 1.6 T4 Comfort,2015,114000,Usado,Bencina,Azul,Automática,11500000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,"Autos, camionetas y 4x4"
Kia,Frontier,2018,168000,Usado,Diesel,Blanco,Manual,11800000,Metropolitana de Santiago,Colina,Vendedor de autos.,"Autos, camionetas y 4x4"
Nissan,X-Trail,2019,70000,Usado,Bencina,Gris,Automática,12890000,Valparaíso,Concón,Vendedor de autos.,"Autos, camionetas y 4x4"
Faw,Besturn B50,2014,180000,Usado,Bencina,Gris,Manual,3100000,Los Lagos,Puerto Montt,Vendedor de autos.,"Autos, camionetas y 4x4"
Kia,Sorento,2017,64880,Usado,Bencina,Gris,Automática,13980000,Tarapacá,Iquique,Vendedor de autos.,Autos-vehículo
Volkswagen,Polo,2022,22476,Usado,Bencina,Blanco,Automática,11780000,Metropolitana de Santiago,La Florida,Vendedor de autos.,Autos-vehículo
Hyundai,I20,2022,16400,Usado,Bencina,Blanco,Automática,10480000,Coquimbo,La Serena,Vendedor de autos.,Autos-vehículo
Chevrolet,Blazer,2022,25900,Usado,Bencina,Rojo,Automática,10990000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Peugeot,308,2019,85350,Usado,Diesel,Blanco,Automática,15990000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Changan,Cx70 Luxury 1.6,2023,19000,Usado,Bencina,Negro,Automática,10990000,Valparaíso,QUILPÚE,Vendedor de autos.,Autos-vehículo
Mitsubishi,L200,2021,87402,Usado,Diesel,Blanco,Automática,15180000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Subaru,Xv,2023,18050,Usado,Bencina,Gris Gris,Automática,20490000,Metropolitana de Santiago,Quilicura,Vendedor de autos.,Autos-vehículo
Great Wall,Wingle 5,2020,98000,Usado,Diesel,Blanco,Manual,7980000,Metropolitana de Santiago,la granja,Vendedor de autos.,"Autos, Camionetas y 4x4"
Hyundai,Creta,2017,95000,Usado,Bencina,Blanco,Manual,9000000,Metropolitana de Santiago,San Joaquín,Vendedor de autos.,"Autos, camionetas y 4x4"
Mitsubishi,L200,2019,138000,Usado,Diesel,Plata,Manual,19990000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,Boxer,2024,50249,Usado,Diesel,Blanco,Manual,24590000,Metropolitana de Santiago,Macul,Vendedor de autos.,"Autos, Camionetas y 4x4"
Kia,Sorento,2013,148400,Usado,Bencina,Negro,Automática,9100000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Toyota,Rav4,2022,45110,Usado,Bencina,Gris,Manual,18711246,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
BMW,X1,2024,18000,Usado,Bencina,Azul,Automática,37500000,Los Lagos,Puerto Montt,Vendedor de autos.,"Autos, camionetas y 4x4"
Jeep,Grand Cherokee,2018,72000,Usado,Bencina,Plata,Automática,19600000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Range Rover,Evoque,2017,103000,Usado,Bencina,Bronce,Automática,18000000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,Ecosport,2019,113460,Usado,Bencina,Blanco Blanco,Manual,8290000,Metropolitana de Santiago,San Bernardo,Vendedor de autos.,"Autos, camionetas y 4x4"
Opel,Grandland,2024,14310,Usado,Bencina,Granate,Automática,18690000,Valparaíso,Viña del Mar,Vendedor de autos.,"Autos, Camionetas y 4x4"
Peugeot,208,2018,80180,Usado,Diesel,Blanco,Manual,8200000,Metropolitana de Santiago,San Miguel,Vendedor de autos.,"Autos, camionetas y 4x4"
Jeep,Grand Cherokee,2014,124000,Usado,Bencina,Negro,Automática,13990000,Metropolitana de Santiago,Lo Barnechea,Vendedor de autos.,"Autos, Camionetas y 4x4"
Mazda,Cx-3,2023,11000,Usado,Bencina,Blanco,Manual,16500000,Metropolitana de Santiago,La Reina,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,F-150,2023,55000,Usado,Bencina,BLANCO,Automática,38990000,Metropolitana de Santiago,La Reina,Vendedor de autos.,"Autos, Camionetas y 4x4"
Chevrolet,Colorado,2021,80000,Usado,Diesel,Blanco,Automática,24000000,Los Ríos,Paillaco,Vendedor de autos.,"Autos, camionetas y 4x4"
Citroën,C-Elysee,2021,67000,Usado,Diesel,Gris,Manual,7900000,Metropolitana de Santiago,La Florida,Vendedor de autos.,"Autos, camionetas y 4x4"
Hyundai,Tucson,2021,12970,Usado,Bencina,Gris,Manual,16800000,Antofagasta,Antofagasta,Vendedor de autos.,"Autos, camionetas y 4x4"
Haval,H6,2022,31000,Usado,Bencina,Azul,Automática,15990000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Cupra,Formentor,2023,46093,Usado,Bencina,Blanco,Automática,22700000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Hyundai,Santa Fe,2022,56853,Usado,Bencina,Blanco,Automática,20780000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
BMW,418,2021,68000,Usado,Bencina,Azul,Automática,22990000,Valparaíso,Valparaiso,Vendedor de autos.,"Autos, Camionetas y 4x4"
BMW,X5,2018,146000,Usado,Diesel,Gris,Automática,23990000,Maule,Talca,Vendedor de autos.,"Autos, Camionetas y 4x4"
Maple,Maple 30X,2022,45800,Usado,Eléctrico,Borgoña,Automática,13400000,Metropolitana de Santiago,Lo Barnechea,Vendedor de autos.,"Autos, Camionetas y 4x4"
Mercedes-Benz,B 200,2022,30573,Usado,Bencina,Gris,Automática,27990000,Metropolitana de Santiago,Colina,Vendedor de autos.,"Autos, Camionetas y 4x4"
Fiat,Argo,2023,10,Usado,Bencina,Blanco,Automática,11490000,Valparaíso,Viña del Mar,Vendedor de autos.,"Autos, Camionetas y 4x4"
Chery,Tiggo 2,2021,60000,Usado,Bencina,Naranja,Automática,8480000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Volkswagen,Virtus,2022,28926,Usado,Bencina,Blanco,Automática,10200000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Kia,Sorento,2017,109271,Usado,Bencina,Gris Gris,Automática,13190000,Metropolitana de Santiago,Cerrillos,Vendedor de autos.,Autos-vehículo
Peugeot,Partner,2024,1,Usado,Diesel,Blanco Blanco,Automática,17190000,Metropolitana de Santiago,Macul,Vendedor de autos.,Autos-vehículo
Suzuki,Jimny,2022,18477,Usado,Bencina,Plata,Automática,14380000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
BMW,X3,2019,57630,Usado,Bencina,Blanco,Automática,33900000,Bío Bío,Concepción,Vendedor de autos.,Autos-vehículo
Mazda,2,2016,82000,Usado,Bencina,Gris,Automática,9980000,Metropolitana de Santiago,santiago,Vendedor de autos.,Autos-vehículo
